,address,orderId,symbol,tradeTokenSymbol,quoteTokenSymbol,tradeToken,quoteToken,side,price,quantity,amount,executedQuantity,executedAmount,executedPercent,executedAvgPrice,fee,status,type,createTime,timestamp,usd_value
0,vite_15d3230e3c31c009c968beea7160ae98b491475236ae2cddbc,08ea95d2128374466d94ab822471141989a5fe6672f7fbc8b1cfd0a053a6a490,EPIC-001_BTC-000,EPIC-001,BTC-000,tti_b9d622c68d486aa107a38a16,tti_b90c9baffffc9dae58d1f33f,Buy,0.00000133,343.6,0.00045698,343.6,0.00045699,1.00000000,0.00000133,0.00000103,Filled,0,2021-03-19 23:30:40,1616196640,26.677
1,vite_15d3230e3c31c009c968beea7160ae98b491475236ae2cddbc,0a284f7d05d0968c9193d0dc502b813c070e330c5cce7c896da1e8984d842adf,EPIC-001_BTC-000,EPIC-001,BTC-000,tti_b9d622c68d486aa107a38a16,tti_b90c9baffffc9dae58d1f33f,Buy,0.00000110,323.6,0.00035596,323.6,0.00035596,1.00000000,0.00000110,0.00000080,Filled,0,2021-03-19 07:11:17,1616137877,20.605
2,vite_15d3230e3c31c009c968beea7160ae98b491475236ae2cddbc,ee034401484a23216692bee493b2ffafca27cccfe1b56c4c097bcac71418c215,EPIC-001_BTC-000,EPIC-001,BTC-000,tti_b9d622c68d486aa107a38a16,tti_b90c9baffffc9dae58d1f33f,Buy,0.00000050,1000.0,0.0005,0.0,0.00000000,0.00000000,0.00000000,0.00000000,Cancelled,0,2021-03-19 07:10:59,1616137859,28.943
3,vite_15d3230e3c31c009c968beea7160ae98b491475236ae2cddbc,dffcaa49e01f79899f8b79e61c2dd253b97f406e026b4061fd7f8094e50b17f9,EPIC-001_BTC-000,EPIC-001,BTC-000,tti_b9d622c68d486aa107a38a16,tti_b90c9baffffc9dae58d1f33f,Sell,0.00000328,500.0,0.00164,500.0,0.00164001,1.00000000,0.00000328,0.00000369,Filled,0,2021-03-18 23:51:48,1616111508,93.592
4,vite_15d3230e3c31c009c968beea7160ae98b491475236ae2cddbc,65150d691b74f4500742a7ac37f432c7e78a53b1032b4da6becaf613fff95951,EPIC-001_BTC-000,EPIC-001,BTC-000,tti_b9d622c68d486aa107a38a16,tti_b90c9baffffc9dae58d1f33f,Buy,0.00000209,500.0,0.001045,500.0,0.00104500,1.00000000,0.00000209,0.00000235,Filled,0,2021-03-18 23:51:15,1616111475,59.637
5,vite_15d3230e3c31c009c968beea7160ae98b491475236ae2cddbc,32180bcc58b65ab357f20d40f3046fcdc95b310922b39283695487ae2a9a6105,EPIC-001_BTC-000,EPIC-001,BTC-000,tti_b9d622c68d486aa107a38a16,tti_b90c9baffffc9dae58d1f33f,Sell,0.00000409,500.0,0.002045,0.0,0.00000000,0.00000000,0.00000000,0.00000000,Cancelled,0,2021-03-18 11:26:48,1616066808,119.241
6,vite_15d3230e3c31c009c968beea7160ae98b491475236ae2cddbc,d3a83545adb7937ebf7e58a5decd9301aa55ea350b2493d98392e412297deb27,EPIC-001_BTC-000,EPIC-001,BTC-000,tti_b9d622c68d486aa107a38a16,tti_b90c9baffffc9dae58d1f33f,Buy,0.00000250,717.4,0.0017935,717.4,0.00179350,1.00000000,0.00000250,0.00000404,Filled,0,2021-03-18 06:52:26,1616050346,105.144
7,vite_15d3230e3c31c009c968beea7160ae98b491475236ae2cddbc,11102608a63de193f3cd01fc89cd2890ed90f92aff761ff30f782a25a7883ff2,EPIC-001_BTC-000,EPIC-001,BTC-000,tti_b9d622c68d486aa107a38a16,tti_b90c9baffffc9dae58d1f33f,Sell,0.00000469,500.0,0.002345,500.0,0.00234500,1.00000000,0.00000469,0.00000527,Filled,0,2021-03-17 22:57:14,1616021834,137.371
8,vite_15d3230e3c31c009c968beea7160ae98b491475236ae2cddbc,f13c84aff36fbd918bf8f5b4f619925bec2c764857bbd23047c751ba164deed9,EPIC-001_BTC-000,EPIC-001,BTC-000,tti_b9d622c68d486aa107a38a16,tti_b90c9baffffc9dae58d1f33f,Buy,0.00000200,626.3,0.0012526,626.3,0.00125260,1.00000000,0.00000200,0.00000281,Filled,0,2021-03-17 20:43:32,1616013812,72.717
9,vite_15d3230e3c31c009c968beea7160ae98b491475236ae2cddbc,9d221569f30af0e88da8fc8376cd83966f1ab42322c900add71028d950bc1970,EPIC-001_BTC-000,EPIC-001,BTC-000,tti_b9d622c68d486aa107a38a16,tti_b90c9baffffc9dae58d1f33f,Buy,0.00000050,1000.0,0.0005,0.0,0.00000000,0.00000000,0.00000000,0.00000000,Open,0,2021-03-17 20:43:13,1616013793,29.026
10,vite_15d3230e3c31c009c968beea7160ae98b491475236ae2cddbc,8b0c1ea6d51d307099ecf9cc873fc6a800fca7ce2c058db12e6c37ffd0b6c5da,EPIC-001_BTC-000,EPIC-001,BTC-000,tti_b9d622c68d486aa107a38a16,tti_b90c9baffffc9dae58d1f33f,Buy,0.00000003,5000.0,0.00015,0.0,0.00000000,0.00000000,0.00000000,0.00000000,Open,0,2021-03-17 20:42:16,1616013736,8.708
11,vite_15d3230e3c31c009c968beea7160ae98b491475236ae2cddbc,ed6d51caac9f8990d9935f0f95e783543547a6ed64de13b18268968cec779b6a,EPIC-001_BTC-000,EPIC-001,BTC-000,tti_b9d622c68d486aa107a38a16,tti_b90c9baffffc9dae58d1f33f,Buy,0.00000254,500.0,0.00127,500.0,0.00127000,1.00000000,0.00000254,0.00000286,Filled,0,2021-03-17 15:06:29,1615993589,69.707
12,vite_15d3230e3c31c009c968beea7160ae98b491475236ae2cddbc,37e73cffa99f71db0117b73841abdeabfbee9f848aec2fa97fec4b907f2bd080,EPIC-001_BTC-000,EPIC-001,BTC-000,tti_b9d622c68d486aa107a38a16,tti_b90c9baffffc9dae58d1f33f,Buy,0.00000345,500.0,0.001725,500.0,0.00172500,1.00000000,0.00000345,0.00000388,Filled,0,2021-03-16 23:24:02,1615937042,97.355
13,vite_15d3230e3c31c009c968beea7160ae98b491475236ae2cddbc,2d76cbaea29cdb07de1927d4bdb48553003dd23d64d1fc423232bd20efe469d3,EPIC-001_BTC-000,EPIC-001,BTC-000,tti_b9d622c68d486aa107a38a16,tti_b90c9baffffc9dae58d1f33f,Sell,0.00000569,500.0,0.002845,500.0,0.00284500,1.00000000,0.00000569,0.00000640,Filled,0,2021-03-16 15:18:15,1615907895,158.453
14,vite_15d3230e3c31c009c968beea7160ae98b491475236ae2cddbc,47d2fa6b6fea920930657481af8342cd408123bd595338b686ed9e9ef0141aaa,EPIC-001_BTC-000,EPIC-001,BTC-000,tti_b9d622c68d486aa107a38a16,tti_b90c9baffffc9dae58d1f33f,Buy,0.00000246,449.5,0.00110577,449.5,0.00110577,1.00000000,0.00000246,0.00000249,Filled,0,2021-03-16 15:17:53,1615907873,61.586
15,vite_15d3230e3c31c009c968beea7160ae98b491475236ae2cddbc,c07748b04b392f968eb45843023d8202f3f7cf7286fa7d613f5b5839f22e66c1,EPIC-001_BTC-000,EPIC-001,BTC-000,tti_b9d622c68d486aa107a38a16,tti_b90c9baffffc9dae58d1f33f,Buy,0.00000192,768.0,0.00147456,768.0,0.00147456,1.00000000,0.00000192,0.00000331,Filled,0,2021-03-16 15:17:25,1615907845,82.126
16,vite_15d3230e3c31c009c968beea7160ae98b491475236ae2cddbc,4ec49f0770472dfb7f8753815343c405c42519b275cced79deb99b8a11f4bc52,EPIC-001_BTC-000,EPIC-001,BTC-000,tti_b9d622c68d486aa107a38a16,tti_b90c9baffffc9dae58d1f33f,Buy,0.00000125,500.0,0.000625,500.0,0.00062500,1.00000000,0.00000125,0.00000141,Filled,0,2021-03-16 15:16:17,1615907777,34.809
17,vite_15d3230e3c31c009c968beea7160ae98b491475236ae2cddbc,b4a648c4805e9114b6677bce6129226d1678b6cdc3a15d131756af0a448b56d1,EPIC-001_BTC-000,EPIC-001,BTC-000,tti_b9d622c68d486aa107a38a16,tti_b90c9baffffc9dae58d1f33f,Buy,0.00000190,500.0,0.00095,0.0,0.00000000,0.00000000,0.00000000,0.00000000,Cancelled,0,2021-03-16 15:15:23,1615907723,52.91
18,vite_15d3230e3c31c009c968beea7160ae98b491475236ae2cddbc,7d9dfa3d1ecee7c5b356d8205cd0e83b97a3787a465244109de7afae9e7574f7,EPIC-001_BTC-000,EPIC-001,BTC-000,tti_b9d622c68d486aa107a38a16,tti_b90c9baffffc9dae58d1f33f,Sell,0.00000679,500.0,0.003395,500.0,0.00339500,1.00000000,0.00000679,0.00000764,Filled,0,2021-03-16 09:13:56,1615886036,190.169
19,vite_15d3230e3c31c009c968beea7160ae98b491475236ae2cddbc,07cbc99e77226fd1f377e74e1f595eb272b5ed6b932945cae0c08f6c3aea40c8,EPIC-001_BTC-000,EPIC-001,BTC-000,tti_b9d622c68d486aa107a38a16,tti_b90c9baffffc9dae58d1f33f,Sell,0.00000687,500.0,0.003435,0.0,0.00000000,0.00000000,0.00000000,0.00000000,Cancelled,0,2021-03-16 07:52:09,1615881129,191.788
20,vite_15d3230e3c31c009c968beea7160ae98b491475236ae2cddbc,f1f68fed849a8c9f5dbd608020803ad2122271367ba93b93c04ea775b88017f1,EPIC-001_BTC-000,EPIC-001,BTC-000,tti_b9d622c68d486aa107a38a16,tti_b90c9baffffc9dae58d1f33f,Buy,0.00000345,454.0,0.0015663,454.0,0.00156630,1.00000000,0.00000345,0.00000352,Filled,0,2021-03-15 23:31:31,1615851091,86.632
21,vite_15d3230e3c31c009c968beea7160ae98b491475236ae2cddbc,b6b48d7ac8bf234ae0996ef937b50d13beba1fa715b5019450ffab5983887db9,EPIC-001_BTC-000,EPIC-001,BTC-000,tti_b9d622c68d486aa107a38a16,tti_b90c9baffffc9dae58d1f33f,Buy,0.00000290,500.0,0.00145,0.0,0.00000000,0.00000000,0.00000000,0.00000000,Cancelled,0,2021-03-15 23:30:42,1615851042,80.2
22,vite_15d3230e3c31c009c968beea7160ae98b491475236ae2cddbc,ed4da4da25a02ae0b2d914ada12611c73e553a1c9a04e62f3e6b41bfa5e79d0b,EPIC-001_BTC-000,EPIC-001,BTC-000,tti_b9d622c68d486aa107a38a16,tti_b90c9baffffc9dae58d1f33f,Buy,0.00000412,500.0,0.00206,500.0,0.00206000,1.00000000,0.00000412,0.00000464,Filled,0,2021-03-15 23:30:10,1615851010,113.939
23,vite_15d3230e3c31c009c968beea7160ae98b491475236ae2cddbc,60a12b1891bc1881f7b8b1c1a490103baf329be413fcf6b4f0ea98bdf4206f99,EPIC-001_BTC-000,EPIC-001,BTC-000,tti_b9d622c68d486aa107a38a16,tti_b90c9baffffc9dae58d1f33f,Buy,0.00000433,200.0,0.000866,0.0,0.00000000,0.00000000,0.00000000,0.00000000,Cancelled,0,2021-03-15 09:52:35,1615801955,48.557
24,vite_15d3230e3c31c009c968beea7160ae98b491475236ae2cddbc,7f2d965c90bd26065278e9b80e409d622e78df59dc0a49ec91377b6f2d62bc22,EPIC-001_BTC-000,EPIC-001,BTC-000,tti_b9d622c68d486aa107a38a16,tti_b90c9baffffc9dae58d1f33f,Buy,0.00000433,200.0,0.000866,0.0,0.00000000,0.00000000,0.00000000,0.00000000,Cancelled,0,2021-03-15 09:51:30,1615801890,48.557
25,vite_15d3230e3c31c009c968beea7160ae98b491475236ae2cddbc,57653361f3eb2d4f6cdf4bad4ef64f314e927d78cbd1d785a6eca995a66a4603,EPIC-001_BTC-000,EPIC-001,BTC-000,tti_b9d622c68d486aa107a38a16,tti_b90c9baffffc9dae58d1f33f,Buy,0.00000433,200.0,0.000866,0.0,0.00000000,0.00000000,0.00000000,0.00000000,Cancelled,0,2021-03-15 09:50:23,1615801823,48.557
26,vite_15d3230e3c31c009c968beea7160ae98b491475236ae2cddbc,96f0ab76b9503e2565d50d182c4f775398901761025acf3ba455d87c35f6f960,EPIC-001_BTC-000,EPIC-001,BTC-000,tti_b9d622c68d486aa107a38a16,tti_b90c9baffffc9dae58d1f33f,Sell,0.00000666,200.0,0.001332,0.0,0.00000000,0.00000000,0.00000000,0.00000000,Cancelled,0,2021-03-15 09:49:17,1615801757,74.686
27,vite_15d3230e3c31c009c968beea7160ae98b491475236ae2cddbc,79e602aebe2aaa00141a8e13af37fe5db5108d25661894aaf79a75c6f8faac59,EPIC-001_BTC-000,EPIC-001,BTC-000,tti_b9d622c68d486aa107a38a16,tti_b90c9baffffc9dae58d1f33f,Sell,0.00000666,200.0,0.001332,0.0,0.00000000,0.00000000,0.00000000,0.00000000,Cancelled,0,2021-03-15 09:48:11,1615801691,74.686
28,vite_15d3230e3c31c009c968beea7160ae98b491475236ae2cddbc,e826fc040ff3545f0b3a0aab1d14f339d6454e1ad5aeb846b98434725f64f747,EPIC-001_BTC-000,EPIC-001,BTC-000,tti_b9d622c68d486aa107a38a16,tti_b90c9baffffc9dae58d1f33f,Buy,0.00000433,200.0,0.000866,0.0,0.00000000,0.00000000,0.00000000,0.00000000,Cancelled,0,2021-03-15 09:48:11,1615801691,48.557
